Year,Team,Rank,G,W,L,LgWin,WSWin,Name
1871,BS1,3,31,20,10,N,,Boston Red Stockings
1871,CH1,2,28,19,9,N,,Chicago White Stockings
1871,CL1,8,29,10,19,N,,Cleveland Forest Citys
1871,FW1,7,19,7,12,N,,Fort Wayne Kekiongas
1871,NY2,5,33,16,17,N,,New York Mutuals
1871,PH1,1,28,21,7,Y,,Philadelphia Athletics
1871,RC1,9,25,4,21,N,,Rockford Forest Citys
1871,TRO,6,29,13,15,N,,Troy Haymakers
1871,WS3,4,32,15,15,N,,Washington Olympics
1872,BL1,2,58,35,19,N,,Baltimore Canaries
1872,BR1,9,29,3,26,N,,Brooklyn Eckfords
1872,BR2,6,37,9,28,N,,Brooklyn Atlantics
1872,BS1,1,48,39,8,Y,,Boston Red Stockings
1872,CL1,7,22,6,16,N,,Cleveland Forest Citys
1872,MID,8,24,5,19,N,,Middletown Mansfields
1872,NY2,3,56,34,20,N,,New York Mutuals
1872,PH1,4,47,30,14,N,,Philadelphia Athletics
1872,TRO,5,25,15,10,N,,Troy Haymakers
1872,WS3,10,9,2,7,N,,Washington Olympics
1872,WS4,11,11,0,11,N,,Washington Nationals
1873,BL1,3,57,34,22,N,,Baltimore Canaries
1873,BL4,9,6,0,6,N,,Baltimore Marylands
1873,BR2,6,55,17,37,N,,Brooklyn Atlantics
1873,BS1,1,60,43,16,Y,,Boston Red Stockings
1873,ELI,8,23,2,21,N,,Elizabeth Resolutes
1873,NY2,4,53,29,24,N,,New York Mutuals
1873,PH1,5,52,28,23,N,,Philadelphia Athletics
1873,PH2,2,53,36,17,N,,Philadelphia Whites
1873,WS5,7,39,8,31,N,,Washington Blue Legs
1874,BL1,8,47,9,38,N,,Baltimore Canaries
1874,BR2,6,56,22,33,N,,Brooklyn Atlantics
1874,BS1,1,71,52,18,Y,,Boston Red Stockings
1874,CH2,5,59,28,31,N,,Chicago White Stockings
1874,HR1,7,53,16,37,N,,Hartford Dark Blues
1874,NY2,2,65,42,23,N,,New York Mutuals
1874,PH1,3,55,33,22,N,,Philadelphia Athletics
1874,PH2,4,58,29,29,N,,Philadelphia Whites
1875,BR2,11,44,2,42,N,,Brooklyn Atlantics
1875,BS1,1,82,71,8,Y,,Boston Red Stockings
1875,CH2,6,69,30,37,N,,Chicago White Stockings
1875,HR1,3,86,54,28,N,,Hartford Dark Blues
1875,KEO,13,13,1,12,N,,Keokuk Westerns
1875,NH1,8,47,7,40,N,,New Haven Elm Citys
1875,NY2,6,71,30,38,N,,New York Mutuals
1875,PH1,2,77,53,20,N,,Philadelphia Athletics
1875,PH2,5,70,37,31,N,,Philadelphia Whites
1875,PH3,11,14,2,12,N,,Philadelphia Centennials
1875,SL1,10,19,4,15,N,,St. Louis Red Stockings
1875,SL2,4,70,39,29,N,,St. Louis Brown Stockings
1875,WS6,9,28,5,23,N,,Washington Nationals
1876,BSN,4,70,39,31,N,,Boston Red Caps
1876,CHN,1,66,52,14,Y,,Chicago White Stockings
1876,CN1,8,65,9,56,N,,Cincinnati Reds
1876,HAR,2,69,47,21,N,,Hartford Dark Blues
1876,LS1,5,69,30,36,N,,Louisville Grays
1876,NY3,6,57,21,35,N,,New York Mutuals
1876,PHN,7,60,14,45,N,,Philadelphia Athletics
1876,SL3,3,64,45,19,N,,St. Louis Brown Stockings
1877,BSN,1,61,42,18,Y,,Boston Red Caps
